player,age,team,war,ab,r,h,double,triple,hr,rbi,sb,bb,k,tb,hbp,sf
Jacob Young,24,WSN,2.8,468,75,120,24,1,3,36,33,30,102,155,12,2
Nathaniel Lowe,28,TEX,2.7,486,62,129,16,1,16,69,2,71,125,195,4,4
Isaac Paredes,25,2TM,2.7,542,64,129,25,1,19,80,1,76,105,213,17,6
Joey Ortiz,25,MIL,2.7,440,58,105,25,6,11,60,11,56,103,175,6,6
J.P. Crawford,29,SEA,2.7,392,55,79,16,2,9,37,5,52,102,126,6,1
Logan O'Hoppe,24,LAA,2.7,479,64,117,17,1,20,56,2,33,155,196,8,1
Jazz Chisholm Jr,26,2TM,2.7,562,74,144,21,4,24,73,40,53,152,245,4,2
Tyler O'Neill,29,BOS,2.6,411,74,99,18,0,31,61,4,53,159,210,7,2
Fernando Tatis Jr,25,SDP,2.6,398,64,110,21,1,21,49,11,32,96,196,7,1
David Hamilton,26,BOS,2.6,294,47,73,17,1,8,28,33,22,80,116,1,0
Brendan Donovan,27,STL,2.6,587,65,163,34,3,14,73,5,47,81,245,13,5
Gabriel Moreno,24,ARI,2.6,305,39,81,18,1,5,45,3,41,52,116,2,3
Pete Alonso,29,NYM,2.6,608,91,146,31,0,34,88,3,70,172,279,13,4
Christian Walker,33,ARI,2.6,479,72,120,26,0,26,84,2,55,133,224,10,8
Ha-Seong Kim,28,SDP,2.6,403,60,94,16,3,11,47,22,58,77,149,2,3
Ryan Mountcastle,27,BAL,2.6,473,54,128,30,2,13,63,3,27,114,201,1,6
Otto Lopez,25,MIA,2.6,403,49,109,23,1,6,39,20,25,75,152,5,2
Cedric Mullins,29,BAL,2.6,444,69,104,16,3,18,54,32,41,98,180,1,2
Salvador Perez,34,KCR,2.5,590,58,160,28,0,27,104,0,44,129,269,11,6
Nolan Arenado,33,STL,2.5,578,70,157,23,0,16,71,2,44,92,228,5,7
Austin Wells,24,NYY,2.5,354,42,81,18,1,13,55,1,47,87,140,5,7
Ryan McMahon,29,COL,2.5,567,68,137,28,0,20,65,4,69,185,225,3,4
Bryson Stott,26,PHI,2.5,506,65,124,19,2,11,57,32,53,93,180,6,2
Carlos Santana,38,MIN,2.5,521,63,124,26,0,23,71,4,65,99,219,3,9
Oneil Cruz,25,PIT,2.5,541,72,140,34,3,21,76,22,51,181,243,3,4
Jordan Westburg,25,BAL,2.4,416,57,110,26,5,18,63,6,22,97,200,7,1
Tyler Stephenson,27,CIN,2.4,457,69,118,26,1,19,66,1,48,117,203,8,2
Brandon Lowe,29,TBR,2.4,385,56,94,19,3,21,58,5,33,112,182,5,2
Heliot Ramos,24,SFG,2.3,475,54,128,23,3,22,72,6,37,135,223,2,4
Edmundo Sosa,28,PHI,2.3,249,39,64,12,4,7,31,7,13,66,105,8,2
Taylor Ward,30,LAA,2.3,585,73,144,26,2,25,75,6,63,163,249,7,8
Pete Crow-Armstrong,22,CHC,2.3,372,46,88,13,6,10,47,27,21,98,143,6,3
Kevin Newman,30,ARI,2.2,288,41,80,17,1,3,28,8,15,48,108,0,2
Brandon Nimmo,31,NYM,2.2,571,88,128,25,3,23,90,15,77,158,228,12,3
Michael Toglia,25,COL,2.2,399,62,87,14,3,25,55,10,54,147,182,1,3
Christian Yelich,32,MIL,2.2,270,44,85,12,3,11,42,21,40,58,136,2,1
Luis Garcia Jr,24,WSN,2.2,500,58,141,25,1,18,70,22,27,86,222,3,5
Cody Bellinger,28,CHC,2.2,516,72,137,23,3,18,78,9,45,89,220,0,1
Randal Grichuk,32,ARI,2.2,254,40,74,20,2,12,46,0,20,46,134,3,2
Kerry Carpenter,26,DET,2.2,264,37,75,16,5,18,57,0,22,75,155,1,1
Parker Meadows,24,DET,2.2,270,39,66,12,6,9,28,9,25,76,117,4,3
Josh Rojas,30,SEA,2.2,422,48,95,19,2,8,31,10,46,108,142,3,2
Dylan Moore,31,SEA,2.2,368,53,74,23,4,10,42,32,53,123,135,14,5
Joey Bart,27,PIT,2.2,253,38,67,11,0,13,45,0,22,73,117,6,1
Matt Wallner,26,MIN,2.2,220,26,57,17,1,13,37,3,24,95,115,16,1
Mike Yastrzemski,33,SFG,2.1,428,60,99,16,9,18,57,3,38,124,187,6,1
JJ Bleday,26,OAK,2.1,572,74,139,43,4,20,60,2,67,125,250,2,0
Gavin Lux,26,LAD,2.1,439,59,110,24,2,10,50,5,44,110,168,2,2
Sal Frelick,24,MIL,2.1,475,66,123,22,4,2,32,18,39,78,159,4,1
LaMonte Wade Jr,30,SFG,2.1,331,45,86,16,0,8,34,2,62,90,126,4,3
Ryan Jeffers,27,MIN,2.1,412,56,93,22,0,21,64,3,32,94,178,14,6
Garrett Mitchell,25,MIL,2,196,33,50,12,3,8,21,11,25,71,92,1,0
Tyrone Taylor,30,NYM,2,319,47,79,22,3,7,35,11,19,80,128,5,1
Alejandro Kirk,25,TOR,2,340,23,86,19,1,5,54,0,35,51,122,2,9
Lourdes Gurriel Jr,30,ARI,2,513,72,143,22,2,18,75,7,29,101,223,6,5
Jesse Winker,30,2TM,2,430,63,109,23,0,14,58,14,63,106,174,10,3
Xavier Edwards,24,MIA,2,265,39,87,12,5,1,26,31,33,52,112,0,4
Ryan O'Hearn,30,BAL,2,443,60,117,21,3,15,59,3,46,69,189,2,3
Brayan Rocchio,23,CLE,1.9,383,50,79,18,0,8,36,10,44,90,121,8,5
Miguel Amaya,25,CHC,1.9,328,32,76,13,2,8,47,0,23,62,117,4,3
Jake Cronenworth,30,SDP,1.9,577,72,139,29,3,17,83,5,61,118,225,11,3
Luis Rengifo,27,LAA,1.9,283,41,85,13,1,6,30,24,16,44,118,4,0
